site_id,x_center_mm,y_center_mm,n_points,tilt_urad,standoff_um,loss_angular_db,loss_lateral_db,loss_gap_db,loss_total_db
151,40.0,-40.0,169,762.0066037175086,4.130019339934186,0.0002801204515246228,0.3730397277178634,0.06329491317738375,0.4366147613467718
152,40.0,-30.0,169,662.9600691609955,-0.1761578882851721,0.00021203233200849843,0.282365971385996,-0.002454817341738358,0.28012318637626615
153,40.0,-20.0,169,586.2543762033549,-3.153210200781235,0.00016580573297160435,0.22080546116909003,-0.04083607361921207,0.18013519328284955
154,40.0,-10.0,169,537.8335642864032,-4.844116383216981,0.0001395478502887221,0.18583752736362497,-0.059987352729046456,0.12598972248486723
155,40.0,0.0,156,515.4307710494985,-5.256667122241641,0.0001281645839580981,0.17067829657771205,-0.06436464911484112,0.10644181204682902
156,40.0,10.0,169,524.5772586626521,-4.467275506030168,0.00013275358747574976,0.17678952699092806,-0.05588738807253901,0.1210348925058648
157,40.0,20.0,169,561.7107107761249,-2.509493696018383,0.00015221335477786776,0.2027043299134737,-0.03303767264688348,0.16981887062136808
158,40.0,30.0,169,621.968263766405,0.6374840877009594,0.000186622411910184,0.24852727941182318,0.009053043872188055,0.2577669456959214
159,40.0,40.0,169,683.0516987198077,4.838572246211603,0.00022507875234315517,0.2997400440852373,0.0752406838942081,0.3752058067317886
160,40.0,50.0,156,754.1137546813555,10.07376841175536,0.00027434754103950566,0.36535187435411726,0.17297212574600432,0.5385983476411611
164,50.0,-40.0,156,867.1117733790936,10.424358637485659,0.0003627250202152753,0.48304521159058933,0.18009638071939474,0.6635043173301993
165,50.0,-30.0,156,774.4424749806536,5.937826979327401,0.0002893381338465453,0.3853150245940628,0.09438895664486538,0.4799933193727748
166,50.0,-20.0,156,699.7292157345822,2.815548170411031,0.00023620406222784972,0.314555751212564,0.04196774055572822,0.3567596958305201
167,50.0,-10.0,156,645.7107602805477,0.9826199320230709,0.00020114229216504158,0.26786357616305106,0.014064783566816758,0.2821295020220329
168,50.0,0.0,144,622.2337773261236,0.44489302949256215,0.00018678178131928107,0.24873951354414936,0.006290076759429386,0.255216372084898
169,50.0,10.0,156,629.0252433504617,1.1141134729479354,0.00019088134938494348,0.254198956960908,0.015994533536003108,0.27038437184629605
170,50.0,20.0,156,652.953101471874,3.011722138628063,0.00020567965055435106,0.273906030146307,0.0450813497230344,0.31919305951989574
171,50.0,30.0,156,694.5709750100277,6.08091930565361,0.00023273441564204036,0.3099351817018307,0.09693614557428262,0.4071040616917554
172,50.0,40.0,156,752.8031914723882,10.22752802808791,0.0002733948005189242,0.36408309850269666,0.17608790814430128,0.5404444014475168
178,60.0,-20.0,169,803.8657889829425,9.904234217908222,0.00031174137040278574,0.415149680433907,0.16955253404185008,0.5850139558461599
179,60.0,-10.0,169,758.8774520938008,7.918894169661221,0.000277824566886903,0.3699822709150305,0.13075798458798335,0.5010180800699008
180,60.0,0.0,156,731.593459347146,7.2252104818167044,0.00025820638405509776,0.3438565041526826,0.11775371335098608,0.46186842388772376
181,60.0,10.0,169,732.8396443056913,7.819668109438544,0.0002590867827502761,0.3450289415371897,0.12888017828083967,0.47416820660077963
182,60.0,20.0,169,742.2659305695221,9.560529825858,0.0002657947522079466,0.35396202402513227,0.1626710080612135,0.5168988268385537
